Year,Reg,Group,BrOAa15,BrOAa16,BrOAa17,BrOAa18,BrOAa19,BrOAa20,BrOAa21,BrOAa22,BrOAa23,BrOAa24,BrOAa25,BrOAa26,BrOAa27,BrOAa28,BrOAa29,BrOAa30,BrOAa31,BrOAa32,BrOAa33,BrOAa34,BrOAa35,BrOAa36,BrOAa37,BrOAa38,BrOAa39,BrOAa40,BrOAa41,BrOAa42,BrOAa43,BrOAa44,BrOAa45,BrOAa46,BrOAa47,BrOAa48,BrOAa49,BrOAa50,BrOAa51,BrOAa52,BrOAa53,BrOAa54,BrOAa55,BrO1a15,BrO1a16,BrO1a17,BrO1a18,BrO1a19,BrO1a20,BrO1a21,BrO1a22,BrO1a23,BrO1a24,BrO1a25,BrO1a26,BrO1a27,BrO1a28,BrO1a29,BrO1a30,BrO1a31,BrO1a32,BrO1a33,BrO1a34,BrO1a35,BrO1a36,BrO1a37,BrO1a38,BrO1a39,BrO1a40,BrO1a41,BrO1a42,BrO1a43,BrO1a44,BrO1a45,BrO1a46,BrO1a47,BrO1a48,BrO1a49,BrO1a50,BrO1a51,BrO1a52,BrO1a53,BrO1a54,BrO1a55,BrO2a15,BrO2a16,BrO2a17,BrO2a18,BrO2a19,BrO2a20,BrO2a21,BrO2a22,BrO2a23,BrO2a24,BrO2a25,BrO2a26,BrO2a27,BrO2a28,BrO2a29,BrO2a30,BrO2a31,BrO2a32,BrO2a33,BrO2a34,BrO2a35,BrO2a36,BrO2a37,BrO2a38,BrO2a39,BrO2a40,BrO2a41,BrO2a42,BrO2a43,BrO2a44,BrO2a45,BrO2a46,BrO2a47,BrO2a48,BrO2a49,BrO2a50,BrO2a51,BrO2a52,BrO2a53,BrO2a54,BrO2a55,BrO3a15,BrO3a16,BrO3a17,BrO3a18,BrO3a19,BrO3a20,BrO3a21,BrO3a22,BrO3a23,BrO3a24,BrO3a25,BrO3a26,BrO3a27,BrO3a28,BrO3a29,BrO3a30,BrO3a31,BrO3a32,BrO3a33,BrO3a34,BrO3a35,BrO3a36,BrO3a37,BrO3a38,BrO3a39,BrO3a40,BrO3a41,BrO3a42,BrO3a43,BrO3a44,BrO3a45,BrO3a46,BrO3a47,BrO3a48,BrO3a49,BrO3a50,BrO3a51,BrO3a52,BrO3a53,BrO3a54,BrO3a55,BrO4a15,BrO4a16,BrO4a17,BrO4a18,BrO4a19,BrO4a20,BrO4a21,BrO4a22,BrO4a23,BrO4a24,BrO4a25,BrO4a26,BrO4a27,BrO4a28,BrO4a29,BrO4a30,BrO4a31,BrO4a32,BrO4a33,BrO4a34,BrO4a35,BrO4a36,BrO4a37,BrO4a38,BrO4a39,BrO4a40,BrO4a41,BrO4a42,BrO4a43,BrO4a44,BrO4a45,BrO4a46,BrO4a47,BrO4a48,BrO4a49,BrO4a50,BrO4a51,BrO4a52,BrO4a53,BrO4a54,BrO4a55,BrO5a15,BrO5a16,BrO5a17,BrO5a18,BrO5a19,BrO5a20,BrO5a21,BrO5a22,BrO5a23,BrO5a24,BrO5a25,BrO5a26,BrO5a27,BrO5a28,BrO5a29,BrO5a30,BrO5a31,BrO5a32,BrO5a33,BrO5a34,BrO5a35,BrO5a36,BrO5a37,BrO5a38,BrO5a39,BrO5a40,BrO5a41,BrO5a42,BrO5a43,BrO5a44,BrO5a45,BrO5a46,BrO5a47,BrO5a48,BrO5a49,BrO5a50,BrO5a51,BrO5a52,BrO5a53,BrO5a54,BrO5a55
2012,1100,T,3205,8665,20773,39308,59610,73888,81073,87872,98696,109049,113846,108360,105481,102837,96985,90238,79865,71356,65435,58558,50410,41430,33272,26076,19499,13704,8940,5672,3224,1687,836,394,174,106,59,33,19,9,9,10,11,3113,8374,19560,35869,51888,60337,61917,62799,67027,70098,68538,58404,49636,41684,33593,26902,20023,15825,13161,10470,8231,6245,4669,3502,2553,1733,1063,652,406,203,89,61,30,25,18,7,7,5,1,4,3,87,272,1156,3208,7092,12217,16865,21312,26445,32056,36906,40209,44089,47859,48418,46797,42613,37506,33611,29395,24471,19395,14384,10684,7566,4975,3074,1779,895,459,197,110,43,29,18,8,8,1,0,4,3,5,19,54,211,591,1198,2024,3204,4431,5599,6709,7602,9150,10134,11421,12474,12846,13245,13496,13439,12449,11013,9506,7694,5903,4261,2810,1835,1010,516,284,78,50,26,9,6,0,1,6,0,2,0,0,3,19,37,117,232,468,676,1042,1335,1625,1951,2266,2514,2777,2866,3148,3416,3371,3341,2972,2829,2478,2048,1558,1074,735,476,244,121,64,32,17,8,6,2,0,1,0,2,0,0,0,0,3,19,35,89,116,255,358,519,655,893,1040,1287,1517,1632,1750,1883,1919,1805,1884,1719,1429,1176,919,670,437,264,145,81,18,9,5,5,3,2,0,1,1
2012,1100,U,2563,6642,15442,28474,42659,54210,62137,70914,84330,97711,105601,102366,100935,99819,94996,88918,78747,70559,64869,58379,50191,41344,32939,25903,19267,13692,8914,5472,3177,1631,823,395,195,112,71,40,19,12,12,13,12,2499,6422,14652,26205,37816,45900,50083,54209,61846,68251,69571,60692,52360,44733,36208,29201,21686,17257,14381,11559,9065,6951,5166,3980,2828,1955,1188,715,459,227,104,65,35,31,23,7,8,7,2,6,3,64,200,740,2117,4457,7519,10769,14547,19344,25189,30722,35427,40694,45784,47906,47340,44005,39117,35572,31601,26565,21142,15712,11836,8421,5591,3450,1991,1010,534,239,127,50,35,22,9,8,0,0,6,3,0,20,48,130,358,688,1107,1845,2687,3525,4336,5006,6355,7408,8734,9848,10381,11113,11568,11766,11065,9980,8867,7157,5566,4107,2811,1767,995,512,290,79,58,29,10,9,0,1,8,0,3,0,0,2,21,26,90,148,260,389,602,777,929,1170,1367,1532,1766,1831,2127,2328,2368,2357,2172,2074,1884,1555,1288,853,572,391,184,98,59,37,14,10,9,1,0,2,0,3,0,0,0,0,2,14,30,53,64,145,195,312,356,527,617,763,843,945,1020,1085,1139,1100,1120,1047,896,751,612,426,322,173,92,65,15,4,7,7,1,3,0,1,1
2012,1100,R,4623,13511,34759,73456,120390,147680,149898,147112,147111,146573,141226,128884,121282,113382,104010,94891,83875,74211,67411,59176,51159,41725,34395,26650,20263,13745,9022,6299,3364,1847,873,391,113,89,23,13,18,3,0,0,7,4468,13050,32436,66328,102342,114476,104929,92808,84490,76210,65106,50571,40170,31033,24356,18800,14062,10698,8903,6714,5379,3832,2994,1916,1648,1019,662,455,250,134,46,51,17,8,4,6,3,0,0,0,3,139,445,2246,6649,16538,29834,39022,44944,50378,54785,57443,56581,55886,55106,50228,44884,37622,31738,26766,21788,17313,13421,9911,6868,4750,2986,1864,1114,556,241,79,60,25,13,8,6,6,3,0,0,3,17,16,72,466,1424,3110,5358,7952,10309,12461,14590,16495,18865,19660,20913,21733,21680,20880,20226,19210,17179,14546,11660,9477,7011,4760,2808,2046,1056,528,269,74,25,17,8,0,0,0,0,0,0,0,0,6,12,79,222,537,1193,1643,2500,3188,4009,4666,5408,5980,6341,6577,6805,7216,6831,6702,5710,5370,4445,3671,2429,1784,1246,726,417,186,78,17,25,4,0,3,0,0,0,0,0,0,0,0,6,39,52,214,291,618,899,1227,1694,2175,2533,3133,3935,4091,4301,4633,4585,4217,4459,3943,3183,2551,1905,1437,777,528,292,129,29,25,0,0,6,0,0,0,0
2012,3000,T,2438,6637,15281,29713,45138,55842,61407,69187,80570,93162,100310,96239,95513,95428,90405,83917,73402,65168,59905,54070,46615,37979,30301,24619,18267,12974,8417,5138,3227,1595,776,391,249,124,53,39,23,14,20,9,9,2315,6436,14417,27346,40548,47496,50131,53758,59572,66539,66970,57732,50134,43019,34619,27616,20232,15761,13323,10492,8549,6503,4999,3798,2717,1961,1231,772,438,209,102,126,20,34,17,1,13,0,0,2,0,115,176,821,2181,4148,7472,10000,13244,17953,22795,28297,32829,37952,43868,45494,44879,41508,36988,33230,30060,24928,19728,14452,11507,8192,5336,3249,1760,1039,585,200,140,63,46,0,13,7,0,0,2,4,7,25,42,164,407,744,1118,1806,2475,3098,3950,4440,5879,6454,8085,8851,8838,9511,10112,10332,9597,8560,7725,6635,4850,3641,2510,1535,1033,522,264,34,96,26,20,13,0,7,13,2,0,0,0,0,22,34,112,118,301,488,535,785,872,1089,1368,1616,1652,1838,1903,2101,2075,2234,1918,1915,1527,1474,1213,820,603,395,139,70,38,67,7,0,1,0,0,7,2,4,0,0,0,0,0,18,40,78,83,196,308,366,458,719,592,919,987,1005,1138,1111,1306,1270,1210,1153,1034,822,608,469,322,139,141,53,4,11,17,13,3,7,0,2,0
2012,3000,U,1798,5295,11956,23046,35728,45737,51806,61014,73411,88184,97444,94539,94982,95331,90620,84465,73882,65286,60793,55162,47641,38764,31045,25337,18932,13560,8795,5276,3387,1684,869,419,277,139,61,44,24,17,25,11,11,1736,5161,11354,21337,32537,39750,43604,48947,56252,65227,67432,59094,51766,45043,36141,28964,21253,16446,14140,11178,9156,6976,5363,4083,2936,2178,1354,832,496,238,114,128,15,42,20,0,16,0,0,2,0,61,103,573,1566,2956,5365,7368,10626,14907,20060,25970,30962,36938,43164,45396,45457,42498,37779,34293,31495,26161,20781,15251,12330,8841,5829,3509,1948,1158,651,240,151,77,56,0,15,8,0,0,2,5,0,31,29,123,202,514,708,1193,1825,2351,3232,3593,5096,5526,7305,8131,8005,8729,9663,10014,9392,8317,7780,6609,4991,3714,2664,1573,1092,568,297,35,108,28,20,15,0,9,17,2,0,0,0,0,19,34,92,80,173,385,422,608,579,853,1028,1297,1276,1435,1570,1822,1683,1935,1735,1707,1412,1367,1214,776,530,353,114,80,47,77,0,0,0,0,0,8,2,5,0,0,0,0,0,15,47,74,43,125,203,311,328,570,479,638,691,762,876,793,997,955,944,904,797,625,491,393,287,114,137,58,0,14,20,15,0,9,0,2,0
2012,3000,R,4953,12222,29876,62591,95378,111453,114306,113380,117481,118326,114855,105289,98416,95960,89212,80860,70621,64485,54973,48126,41072,33710,26321,20841,14800,9988,6462,4432,2459,1184,360,264,118,56,17,17,16,0,0,0,0,4589,11743,27862,56980,83321,90125,86097,79774,76689,73171,64630,50484,41219,31922,26141,20104,14315,11789,8789,6764,5270,3933,3051,2297,1578,854,594,463,155,77,45,117,39,0,0,3,0,0,0,0,0,328,479,1912,5213,10514,19064,24506,27397,33661,36616,40108,42770,43492,47731,46035,41660,35765,32404,27333,22254,18267,13998,10179,7176,4806,2823,1901,804,466,283,23,88,0,0,0,3,0,0,0,0,0,36,0,102,362,1507,2008,3376,5122,5824,6876,7593,8949,10156,11537,12428,12863,13663,14042,12606,12061,10705,9879,7430,6773,4112,3274,1711,1339,751,309,113,29,39,19,17,3,0,0,0,0,0,0,0,0,36,36,223,327,991,1019,1108,1683,2428,2380,3231,3389,3749,4173,3838,3652,4210,3852,2915,3028,2131,2032,1210,1045,974,595,257,23,0,20,37,0,3,0,0,0,0,0,0,0,0,0,0,32,0,97,288,554,841,658,1169,1540,1218,2484,2705,2413,2592,2838,2978,2985,2632,2463,2271,1827,1212,852,492,257,158,29,20,0,0,3,16,0,0,0,0
2012,1114,T,2378,7244,16411,34118,53424,64841,79463,80645,95158,110984,105491,100200,94846,90675,86675,83114,74759,64793,59473,47585,41135,33489,27190,20858,15649,10693,6431,4136,1924,1485,287,184,89,0,0,0,0,0,0,0,0,2229,6976,15416,31757,48169,54759,63534,62009,70070,79361,67842,56556,46101,37892,30810,22675,17034,13097,12409,8186,6632,4683,3732,2721,2130,1126,851,886,203,198,0,184,89,0,0,0,0,0,0,0,0,149,268,995,2125,5145,8995,14504,16296,21013,27269,31834,36924,41514,42570,45243,48023,45165,38251,33060,28335,21956,19175,12529,8706,6945,4502,2270,1280,203,594,96,0,0,0,0,0,0,0,0,0,0,0,0,0,236,109,1087,1246,1839,3276,3590,4473,5361,5753,7953,8189,8622,9205,10062,11611,8725,9499,6539,7731,6711,4074,3001,1986,886,810,396,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,501,639,382,1044,1208,1011,1403,1541,2242,2581,2168,1595,989,2061,1591,2044,1270,1574,750,662,591,506,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,382,298,151,466,858,892,1552,774,1214,798,1349,986,1502,1155,1451,926,1313,662,492,203,99,0,0,0,0,0,0,0,0,0,0,0
2012,1114,U,1398,6191,11505,23778,37907,47281,61136,72495,86466,104574,102927,96402,95639,89030,86995,83516,76864,63813,61024,49221,42324,35183,26774,19349,17246,9733,6507,3925,1829,1340,428,137,0,0,0,0,0,0,0,0,0,1398,5779,10592,21974,34488,41570,51778,58437,69421,80134,72290,58579,51382,40702,33906,24723,18189,13453,13656,8972,7764,4775,4590,2876,2695,1234,969,1163,305,149,0,137,0,0,0,0,0,0,0,0,0,0,413,913,1640,3419,4914,8630,12896,14449,21953,27279,33504,39616,42098,46398,50512,49170,40598,36294,30779,24293,22115,13514,9413,8219,4798,2769,1454,305,744,143,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,797,608,929,2032,1947,2833,3688,3994,4940,5577,6151,7628,7739,9719,8224,8139,6031,6630,5752,4446,2605,2215,727,762,298,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,232,564,216,525,527,324,644,892,1183,1643,1310,984,623,1377,1257,1402,654,1347,548,277,436,305,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,105,324,644,223,946,235,714,369,623,751,1005,637,654,539,548,277,145,152,0,0,0,0,0,0,0,0,0,0,0,0
2012,1114,R,4103,9201,26874,60695,96781,115942,129547,101533,116215,126398,111784,109808,92804,95035,85820,82035,68977,67423,55476,43338,38140,29477,28148,24275,12139,12773,6269,4579,2112,1773,0,278,273,0,0,0,0,0,0,0,0,3692,9201,25706,56902,86397,93140,95665,71163,71643,77503,56922,51439,32509,30445,22569,17170,13860,12143,9193,6145,3783,4466,1759,2368,888,891,597,305,0,295,0,278,273,0,0,0,0,0,0,0,0,410,0,1168,3372,9969,20870,30560,25011,36916,40052,43014,45576,46402,43818,42168,41335,34166,31954,24727,21992,16076,12208,10262,7105,4145,3862,1194,916,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,415,1932,2990,4169,6289,7542,8500,9595,10281,15934,15145,15262,13537,16297,16484,10026,12924,7742,10262,8881,3257,3862,1493,1221,905,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,1191,820,780,2318,2932,2779,3414,3267,5087,5157,4474,3170,1940,3783,2382,3519,2664,2073,1188,1493,916,905,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,520,1030,267,834,1423,2673,3180,2256,2556,1902,3234,1576,2680,2346,3256,1776,2970,1493,1221,302,295,0,0,0,0,0,0,0,0,0,0,0
2012,1115,T,3287,9046,19818,38777,63078,73136,83805,91107,96388,110125,108792,100232,98774,89772,91879,74058,73195,59542,59622,46568,43841,33746,24960,21247,15131,10316,6974,3797,2480,810,1134,334,326,207,98,0,176,87,0,0,0,2941,8734,18146,34976,55375,61287,67084,67518,70533,73057,67805,52715,46538,32034,30562,19961,16157,13308,10177,7215,6721,3517,2982,3260,1694,1700,1125,115,354,0,113,111,0,0,0,0,88,0,0,0,0,346,312,1522,3345,6279,10305,14032,20655,21494,31169,33760,39014,43516,47719,49746,42684,40881,33773,33156,24814,24093,17148,12811,8656,7340,4648,2362,1381,590,347,227,223,0,103,0,0,88,0,0,0,0,0,0,150,456,1283,1286,1755,2500,3529,4228,4945,7343,5913,7083,9591,8424,11277,9316,11589,9729,8530,9123,6627,6183,4404,1927,2475,1036,945,116,794,0,326,0,0,0,0,0,0,0,0,0,0,0,0,142,258,467,217,520,885,1712,773,1203,1721,1042,1882,2602,1843,2187,3389,2698,1869,1436,1237,903,1020,337,690,118,231,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,467,218,312,787,571,387,1603,1214,938,1107,2277,1302,2513,1421,1798,2088,1104,1911,790,1020,675,575,472,116,0,0,0,0,98,0,0,87,0,0,0
